Date,Block,TankID,Treatment,Spp,Indiv,Head width (mm),Thorax (mm),Forewing (cm),Hindwing length (cm),Hindwing width (mm),Sex,Notes
4/27/2020,B,4,variable,palo,1,5.5,9.3,3.21,3.1,9,m,
4/29/2020,E,13,warmed,palo,2,5.8,8.7,3,2.9,9.5,f,
4/29/2020,H,23,variable,palo,3,5.8,8.7,3.11,3.03,9.3,f,
4/30/2020,B,4,variable,palo,4,5.6,8.6,2.94,2.78,8.5,m,
4/30/2020,C,7,warmed,palo,5,5.7,9.1,3.07,3,9.5,f,
4/30/2020,C,9,variable,palo,6,5.8,9.3,3.11,3.02,9,m,
5/2/2020,B,4,variable,palo,7,5.3,9.2,3.07,3,9.4,m,
5/2/2020,E,13,warmed,palo,8,5.3,9.1,3.18,3.11,10,m,
5/2/2020,F,17,variable,palo,9,5.1,8.2,3.1,3.04,9.6,f,
5/3/2020,C,9,variable,palo,11,5.1,8.6,3.08,2.97,8.9,f,
5/3/2020,E,13,warmed,palo,12,5.3,8.5,3.03,2.99,9.7,f,
5/4/2020,C,7,warmed,palo,13,5.1,8.6,2.93,2.92,8.7,m,
5/4/2020,C,7,warmed,palo,14,5,9.6,3.07,2.97,9.1,m,
5/4/2020,C,7,warmed,palo,15,5.2,8.4,2.97,2.94,9.2,f,
5/4/2020,E,15,variable,palo,17,5.2,8.6,2.96,2.87,8.6,m,
5/6/2020,B,5,warmed,palo,18,4.6,8.4,2.88,2.82,8.8,f,
5/7/2020,C,7,warmed,palo,20,5.6,8.8,3.11,3.08,9.1,f,
5/7/2020,C,9,variable,palo,21,5,8.7,3.29,3.13,9.2,m,
5/8/2020,B,5,warmed,palo,22,4.4,8.9,3.23,3.15,9.5,f,
5/8/2020,B,5,warmed,palo,23,5.2,9.1,3.2,3.18,9.5,m,
5/8/2020,C,9,variable,palo,24,5.2,8.9,3.14,3.15,10,f,
5/8/2020,E,15,variable,palo,25,5.1,8.1,3.12,3.02,9.4,f,
5/8/2020,E,15,variable,palo,26,5.1,7.9,3.2,3.15,9.3,f,
5/8/2020,F,17,variable,palo,27,5.5,8.3,3.05,3.07,9.5,m,
5/8/2020,H,23,variable,palo,28,5.3,7.8,2.76,2.72,8.5,m,
5/9/2020,C,7,warmed,palo,31,5.5,8.3,3.21,3.22,9.9,f,
5/9/2020,C,7,warmed,palo,32,5.5,8.9,3.07,2.98,9.6,m,
5/9/2020,F,17,variable,palo,35,5.4,8.8,2.95,2.92,8.9,m,
5/9/2020,F,17,variable,palo,36,5.7,8.8,3.03,2.93,9.1,m,
5/9/2020,H,22,warmed,palo,37,5.2,8.9,3.07,2.9,9.3,m,
5/9/2020,H,23,variable,palo,38,5.3,7.6,2.97,2.96,9.4,f,
5/10/2020,B,5,warmed,palo,39,5.5,8.6,3.12,3.06,10.1,f,
5/10/2020,F,16,warmed,palo,40,5.6,8.5,3.11,2.94,9.2,m,
5/10/2020,F,17,variable,palo,41,5.2,8.3,3.23,3.19,10.1,f,
5/10/2020,H,22,warmed,palo,43,6.1,9.3,3.23,3.11,9.5,m,
5/10/2020,H,22,warmed,palo,44,5.3,8.4,3.08,2.96,9.1,f,
5/10/2020,H,23,variable,palo,45,5.5,8,2.93,2.87,9.5,f,
5/12/2020,F,16,warmed,palo,48,5.4,8.2,2.77,2.75,9,f,
5/12/2020,H,23,variable,palo,50,5.7,8.7,2.88,2.82,9.3,m,
5/13/2020,C,8,control,palo,51,5.2,8.7,3.11,2.98,8.9,m,
5/13/2020,F,16,warmed,palo,52,5.2,8.7,2.98,2.9,9,f,
5/14/2020,F,16,warmed,palo,53,5.2,8.6,3.06,3.03,9.7,f,
5/15/2020,H,22,warmed,palo,54,6.3,9,3.1,3.02,9.4,m,
5/17/2020,E,13,warmed,plly,55,6.3,11.5,3.46,3.41,11.1,f,
5/21/2020,B,4,variable,plly,56,6.7,11.9,3.27,3.34,9.8,m,
5/21/2020,F,16,warmed,palo,57,5.8,8.3,3.08,2.98,9.5,m,
5/21/2020,H,22,warmed,palo,58,5.8,9.7,3.03,3.02,9.5,m,
5/23/2020,H,23,variable,palo,59,5.3,8.3,2.79,2.75,9.1,f,
5/23/2020,C,8,control,palo,60,5.8,9.1,3.26,3.13,9.8,m,
5/23/2020,H,22,warmed,palo,61,5.7,7.8,3.2,3.12,9.6,f,
5/23/2020,H,22,warmed,palo,62,5.7,8.6,2.91,2.82,7.9,f,
5/24/2020,F,18,control,palo,64,5.6,8.9,3.2,3.1,9.4,m,
5/25/2020,E,14,control,palo,65,5.4,7.9,3.17,3,9.6,f,
5/26/2020,C,8,control,palo,66,5.5,8.8,3.06,2.97,9.3,f,
5/27/2020,F,18,control,palo,69,5.8,9.3,3.28,3.12,9.1,m,
5/27/2020,H,22,warmed,plly,71,6.8,10.9,3.69,3.58,10.6,f,
5/27/2020,H,23,variable,plly,72,7,12.6,3.6,3.27,10.7,m,
5/29/2020,B,6,control,palo,73,5.9,8.7,3.04,2.88,9.4,m,
5/30/2020,B,6,control,palo,74,5.5,8.7,3.07,2.95,9.5,f,
6/1/2020,E,14,control,palo,75,5.7,8.5,3.08,3.05,9.5,f,
6/1/2020,B,6,control,palo,76,5.7,8.8,3.01,2.94,8.9,f,
6/2/2020,B,6,control,palo,77,5.4,8.6,2.96,2.83,9.3,f,
6/2/2020,H,24,control,plly,78,7.1,13,3.71,3.58,10.3,m,
6/3/2020,H,23,variable,plly,79,7,12.1,3.42,3.34,9.5,m,
6/3/2020,E,14,control,palo,80,5.5,8.4,3.23,3.09,9.9,f,
6/3/2020,C,9,variable,lilu,81,7.4,11.8,4.37,4.23,12.1,f,
6/5/2020,C,7,warmed,plly,83,6.9,11.5,3.88,3.75,11.5,f,
6/5/2020,F,17,variable,plly,84,6.8,12,3.53,3.42,9.9,m,
6/6/2020,C,7,warmed,lilu,86,7.1,12,4.43,4.38,11.6,m,
6/6/2020,H,23,variable,lilu,87,6.6,10.2,4.04,3.88,12.2,f,
6/7/2020,B,6,control,palo,88,5.8,9.3,3.18,3.08,9.8,f,
6/7/2020,F,17,variable,plly,89,6.8,11.9,3.62,3.54,10.1,m,
6/8/2020,F,18,control,palo,90,5.7,8.9,3.14,3.02,9.1,f,
6/9/2020,H,23,variable,plly,92,6.9,12.1,3.5,3.31,10.3,m,
6/11/2020,E,15,variable,lilu,95,7,11.6,4,3.9,12.2,f,
6/12/2020,H,24,control,palo,96,6,9.3,3.18,3.06,9.5,m,
6/12/2020,F,17,variable,plly,97,7,11.1,3.75,3.63,11.5,f,
6/16/2020,E,13,warmed,plly,99,7.5,13.7,3.72,3.58,11.7,m,
6/17/2020,H,24,control,palo,100,5.7,8.6,3.15,3.16,9.7,f,
6/17/2020,H,24,control,palo,101,5.9,8.1,3.25,3.12,10.1,f,
6/19/2020,C,7,warmed,plly,102,6.9,11.6,3.87,3.78,11,f,
6/19/2020,B,6,control,palo,103,5.5,8.1,2.92,2.82,9.2,f,
6/20/2020,E,14,control,palo,106,6,8.1,3.32,3.28,9.7,f,
6/21/2020,H,24,control,palo,108,5.6,8.8,3.22,3.12,9.3,m,
6/24/2020,C,7,warmed,plly,111,7.2,12.4,3.58,3.45,11.2,m,
6/25/2020,E,14,control,palo,112,6.5,10.4,3.48,3.32,10.3,m,
6/28/2020,B,6,control,palo,113,5.8,8.9,3.29,3.13,10.3,f,
7/4/2020,F,18,control,lilu,115,6.4,11,3.92,3.79,11.8,f,
7/7/2020,F,18,control,lilu,116,7.1,12.2,NA,3.87,10.6,m,"tip of forewing slightly curled, couldn't get measurement from image"
